,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
204,"Building Plot off Warren Lane, Lickey, B45 8ER",600000,Plot,52.376396,-2.005959,,,
205,"Botteville Road, Birmingham, B27",599950,Semi-Detached,52.44367,-1.82297,6.0,3.0,
206,"Moor Pool Avenue, Birmingham, B17 9HL",599950,Semi-Detached,52.462451,-1.951799,4.0,2.0,"1,588 sq. ft."
207,"Petersham Place, Richmond Hill Road, Edgbaston B15 3RY",599000,Ground Flat,52.460492,-1.935876,3.0,3.0,"1,707 sq. ft."
208,"Greenfield Road, Harborne, Birmingham, B17 0EP",595000,Terraced,52.457264,-1.950333,3.0,,
209,"Pear Tree Drive, Great Barr",595000,Detached,52.54601,-1.9541,4.0,2.0,
210,"Heathlands Crescent, Sutton Coldfield, B73 5EP",595000,Detached,52.54609,-1.841951,4.0,2.0,
211,"Vesey Road, Sutton Coldfield, B73 5NR",595000,Semi-Detached,52.54706,-1.829834,3.0,2.0,
212,"St. Johns Road, Harborne, B17",595000,Terraced,52.460798,-1.94648,5.0,2.0,
213,"The Copperworks, Birmingham",595000,Apartment,52.48602,-1.90969,4.0,4.0,"1,453 sq. ft."
214,"Heathlands Crescent, Boldmere",595000,Detached,52.546072,-1.841951,4.0,1.0,
215,"Stirling Road, Birmingham",595000,Terraced,52.47327,-1.934371,6.0,6.0,
216,"The Copperworks, 5 Sloane Street, Birmingham, B1 3DZ",595000,Town House,52.483387,-1.913131,4.0,4.0,
217,21 Melville Road,595000,End of Terrace,52.473506,-1.949895,5.0,2.0,"1,924 sq. ft."
218,"Moor Green Lane, Birmingham, B13",595000,Detached,52.442369,-1.905457,4.0,1.0,
219,"Sandhurst Avenue, Birmingham",590000,Semi-Detached,52.4975,-1.81141,6.0,3.0,
220,"Broad Lane,Birmingham,B14 5AL",585000,Detached,52.415218,-1.890128,5.0,2.0,
221,"Broughton Works, George Street",585000,Apartment,52.48422,-1.90807,3.0,1.0,
222,"Livingstone Road, Birmingham, B14",580000,Semi-Detached,52.422962,-1.894837,4.0,2.0,
223,"Darnick Road, Boldmere",580000,Detached,52.55231,-1.85778,4.0,1.0,
224,"Redacre Road, Sutton Coldfield, B73",575000,Detached,52.549373,-1.842683,4.0,1.0,
225,"Shaftmoor Lane, Hall Green, West Midlands, B28 8SN",272995,Terraced,52.44171,-1.84063,2.0,,
226,"Windermere Road, Moseley, Birmingham, B13",575000,Bungalow,52.44049,-1.86785,3.0,2.0,
227,"Waddington Avenue, Great Barr, Birmingham",575000,Detached,52.5438,-1.93947,4.0,2.0,
228,"Britwell Road, Sutton Coldfield",575000,Semi-Detached,52.54995,-1.837u,4.0,2.0,
229,"Alcester Road, Moseley, Birmingham, B13",575000,Terraced,52.453299,-1.886929,5.0,3.0,
230,"Barnsley Road, Birmingham",575000,Semi-Detached,52.474384,-1.965447,6.0,2.0,
231,"Royal Arch Apartments, Wharfside Street, Birmingham B1 1RB",575000,Duplex,52.476222,-1.905407,3.0,2.0,
232,"Mulberry Road, Bournville, Birmingham, B30",575000,Semi-Detached,52.421494,-1.952594,5.0,2.0,
233,"Waddington Avenue, Great Barr",575000,Detached,52.54384,-1.93921,4.0,2.0,
234,"The Copperworks, Birmingham",575000,Apartment,52.4853,-1.91764,3.0,2.0,"1,379 sq. ft."
235,"Blenheim Road, Moseley, Birmingham, B13",575000,Semi-Detached,52.438284,-1.887094,5.0,2.0,
236,"Middlepark Drive, Birmingham, B31",575000,House,52.424613,-1.959133,5.0,3.0,
237,"Coleshill Meadow, Birmingham",565000,Detached,52.50331,-1.81081,4.0,2.0,
